total_connections	total_requests	total_replies	total_test_duration	connection_rate_per_sec	connection_time_avg	connection_time_max	reply_time_response	reply_time_transfer	reply_size_header	reply_size_content	reply_size_footer	reply_size_total	reply_status_1xx	reply_status_2xx	reply_status_3xx	reply_status_4xx	reply_status_5xx	cpu_time_user_sec	cpu_time_system_sec	cpu_time_user_pct	cpu_time_system_pct	cpu_time_total_pct	net_io_kb_sec	net_io_bps	errors_total	errors_client_timeout	errors_socket_timeout	errors_conn_refused	errors_conn_reset	errors_fd_unavail	errors_addr_unavail	errors_ftab_full	errors_other
30000	29530	28705	15.000	2000.0	9.0	110.0	4.8	0.0	19.0	281.0	0.0	300.0	0	28705	0	0	0	8.77	6.19	58.5	41.3	99.8	693.3	5.7*10^6	1295	1295	0	0	0	0	0	0	0
45000	44972	44927	15.000	3000.1	2.3	91.5	1.2	0.0	19.0	281.0	0.0	300.0	0	44927	0	0	0	9.38	5.58	62.6	37.2	99.7	1079.5	8.8*10^6	73	73	0	0	0	0	0	0	0
60000	60000	59998	15.006	3998.3	0.8	16.1	0.4	0.0	19.0	281.0	0.0	300.0	0	59998	0	0	0	8.52	6.45	56.8	43.0	99.7	1440.8	11.8*10^6	2	2	0	0	0	0	0	0	0
75000	74991	74958	15.003	4999.1	0.5	12.6	0.2	0.0	19.0	281.0	0.0	300.0	0	74958	0	0	0	8.74	6.23	58.2	41.5	99.7	1800.6	14.8*10^6	42	42	0	0	0	0	0	0	0
90000	89995	89989	15.007	5997.1	0.5	8.5	0.2	0.0	19.0	281.0	0.0	300.0	0	89989	0	0	0	7.78	7.19	51.8	47.9	99.7	2160.8	17.7*10^6	11	11	0	0	0	0	0	0	0
30000	29968	29922	14.999	2000.2	3.2	83.2	1.6	0.0	19.0	281.0	0.0	300.0	0	29922	0	0	0	9.19	5.77	61.3	38.5	99.8	719.1	5.9*10^6	78	78	0	0	0	0	0	0	0
45000	43168	39537	14.999	3000.2	18.2	111.1	9.7	0.1	19.0	281.0	0.0	300.0	0	39537	0	0	0	7.21	7.75	48.0	51.7	99.7	966.2	7.9*10^6	5463	5463	0	0	0	0	0	0	0
60000	59264	58278	15.012	3996.7	11.0	97.4	5.6	0.0	19.0	281.0	0.0	300.0	0	58278	0	0	0	7.28	7.69	48.5	51.2	99.7	1403.3	11.5*10^6	1722	1722	0	0	0	0	0	0	0
75000	74993	74984	15.004	4998.7	1.7	17.5	0.8	0.0	19.0	281.0	0.0	300.0	0	74984	0	0	0	7.93	7.04	52.8	46.9	99.7	1800.9	14.8*10^6	16	16	0	0	0	0	0	0	0
90000	89583	89115	14.999	6000.3	4.0	97.8	2.1	0.0	19.0	281.0	0.0	300.0	0	89115	0	0	0	7.08	7.87	47.2	52.5	99.7	2143.0	17.6*10^6	885	885	0	0	0	0	0	0	0
30000	29998	29998	15.000	2000.0	1.5	13.2	0.7	0.0	19.0	281.0	0.0	300.0	0	29998	0	0	0	9.47	5.50	63.1	36.7	99.8	720.7	5.9*10^6	2	2	0	0	0	0	0	0	0
45000	44997	44991	15.000	3000.0	1.4	11.8	0.7	0.0	19.0	281.0	0.0	300.0	0	44991	0	0	0	8.66	6.30	57.7	42.0	99.8	1080.9	8.9*10^6	9	9	0	0	0	0	0	0	0
60000	59964	59912	15.023	3993.8	4.2	86.0	2.1	0.0	19.0	281.0	0.0	300.0	0	59912	0	0	0	8.01	6.98	53.3	46.5	99.7	1437.3	11.8*10^6	88	88	0	0	0	0	0	0	0
75000	74792	74558	15.004	4998.8	2.1	73.8	1.1	0.0	19.0	281.0	0.0	300.0	0	74558	0	0	0	7.96	7.00	53.1	46.7	99.7	1791.8	14.7*10^6	442	442	0	0	0	0	0	0	0
