total_connections	total_requests	total_replies	total_test_duration	connection_rate_per_sec	connection_time_avg	connection_time_max	reply_time_response	reply_time_transfer	reply_size_header	reply_size_content	reply_size_footer	reply_size_total	reply_status_1xx	reply_status_2xx	reply_status_3xx	reply_status_4xx	reply_status_5xx	cpu_time_user_sec	cpu_time_system_sec	cpu_time_user_pct	cpu_time_system_pct	cpu_time_total_pct	net_io_kb_sec	net_io_bps	errors_total	errors_client_timeout	errors_socket_timeout	errors_conn_refused	errors_conn_reset	errors_fd_unavail	errors_addr_unavail	errors_ftab_full	errors_other
30000	30000	30000	14.999	2000.2	0.5	4.3	0.2	0.0	19.0	281.0	0.0	300.0	0	30000	0	0	0	9.57	5.38	63.8	35.9	99.7	720.8	5.9*10^6	0	0	0	0	0	0	0	0	0
45000	45000	44997	14.999	3000.2	0.4	5.8	0.2	0.0	19.0	281.0	0.0	300.0	0	44997	0	0	0	9.14	5.82	60.9	38.8	99.8	1081.1	8.9*10^6	3	3	0	0	0	0	0	0	0
60000	60000	60000	15.006	3998.3	0.5	9.2	0.2	0.0	19.0	281.0	0.0	300.0	0	60000	0	0	0	8.70	6.27	58.0	41.8	99.7	1440.8	11.8*10^6	0	0	0	0	0	0	0	0	0
75000	74959	74917	15.003	4999.1	0.5	12.5	0.2	0.0	19.0	281.0	0.0	300.0	0	74917	0	0	0	7.93	7.03	52.9	46.8	99.7	1799.6	14.7*10^6	83	83	0	0	0	0	0	0	0
90000	89894	89812	15.074	5970.7	0.6	8.2	0.3	0.0	19.0	281.0	0.0	300.0	0	89812	0	0	0	7.70	7.37	51.1	48.9	100.0	2147.4	17.6*10^6	188	188	0	0	0	0	0	0	0
30000	29703	29166	15.001	1999.8	13.3	109.4	6.8	0.0	19.0	281.0	0.0	300.0	0	29166	0	0	0	8.41	6.55	56.0	43.7	99.7	703.0	5.8*10^6	834	834	0	0	0	0	0	0	0
45000	44901	44775	15.001	2999.9	5.4	110.9	2.7	0.0	19.0	281.0	0.0	300.0	0	44775	0	0	0	8.42	6.54	56.1	43.6	99.7	1076.2	8.8*10^6	225	225	0	0	0	0	0	0	0
60000	59779	59522	15.069	3981.7	3.5	79.6	1.7	0.0	19.0	281.0	0.0	300.0	0	59522	0	0	0	8.25	6.78	54.7	45.0	99.8	1424.5	11.7*10^6	478	478	0	0	0	0	0	0	0
75000	74906	74795	15.003	4999.0	0.6	17.5	0.3	0.0	19.0	281.0	0.0	300.0	0	74795	0	0	0	8.17	6.79	54.5	45.3	99.7	1797.0	14.7*10^6	205	205	0	0	0	0	0	0	0
90000	89853	89682	14.999	6000.3	0.6	10.3	0.3	0.0	19.0	281.0	0.0	300.0	0	89682	0	0	0	7.68	7.28	51.2	48.5	99.7	2155.4	17.7*10^6	318	318	0	0	0	0	0	0	0
30000	29939	29856	15.000	1999.9	2.3	100.7	1.2	0.0	19.0	281.0	0.0	300.0	0	29856	0	0	0	9.13	5.84	60.8	38.9	99.8	717.6	5.9*10^6	144	144	0	0	0	0	0	0	0
45000	44942	44873	15.000	3000.0	3.7	79.5	1.9	0.0	19.0	281.0	0.0	300.0	0	44873	0	0	0	8.48	6.48	56.5	43.2	99.7	1078.3	8.8*10^6	127	127	0	0	0	0	0	0	0
60000	59633	59282	15.006	3998.3	6.3	108.3	3.2	0.0	19.0	281.0	0.0	300.0	0	59282	0	0	0	7.99	6.97	53.2	46.5	99.7	1425.1	11.7*10^6	718	718	0	0	0	0	0	0	0
75000	74967	74929	15.003	4999.1	0.5	13.1	0.2	0.0	19.0	281.0	0.0	300.0	0	74929	0	0	0	7.88	7.08	52.5	47.2	99.7	1799.9	14.7*10^6	71	71	0	0	0	0	0	0	0
