total_connections	total_requests	total_replies	total_test_duration	connection_rate_per_sec	connection_time_avg	connection_time_max	reply_time_response	reply_time_transfer	reply_size_header	reply_size_content	reply_size_footer	reply_size_total	reply_status_1xx	reply_status_2xx	reply_status_3xx	reply_status_4xx	reply_status_5xx	cpu_time_user_sec	cpu_time_system_sec	cpu_time_user_pct	cpu_time_system_pct	cpu_time_total_pct	net_io_kb_sec	net_io_bps	errors_total	errors_client_timeout	errors_socket_timeout	errors_conn_refused	errors_conn_reset	errors_fd_unavail	errors_addr_unavail	errors_ftab_full	errors_other
30000	30000	30000	14.999	2000.2	0.4	2.3	0.2	0.0	19.0	281.0	0.0	300.0	0	30000	0	0	0	9.57	5.40	63.8	36.0	99.8	720.8	5.9*10^6	0	0	0	0	0	0	0	0	0
45000	45000	44999	14.999	3000.2	0.5	5.9	0.2	0.0	19.0	281.0	0.0	300.0	0	44999	0	0	0	8.81	6.15	58.8	41.0	99.8	1081.1	8.9*10^6	1	1	0	0	0	0	0	0	0
60000	59998	59985	15.006	3998.3	0.5	8.1	0.2	0.0	19.0	281.0	0.0	300.0	0	59985	0	0	0	8.51	6.45	56.7	43.0	99.7	1440.5	11.8*10^6	15	15	0	0	0	0	0	0	0
75000	74983	74939	15.003	4999.1	0.5	11.4	0.3	0.0	19.0	281.0	0.0	300.0	0	74939	0	0	0	8.07	6.89	53.8	45.9	99.7	1800.2	14.7*10^6	61	61	0	0	0	0	0	0	0
90000	89985	89969	14.999	6000.3	0.5	6.2	0.2	0.0	19.0	281.0	0.0	300.0	0	89969	0	0	0	7.59	7.36	50.6	49.1	99.7	2161.6	17.7*10^6	31	31	0	0	0	0	0	0	0
30000	29815	29395	14.999	2000.2	11.2	111.0	5.7	0.0	19.0	281.0	0.0	300.0	0	29395	0	0	0	8.61	6.35	57.4	42.4	99.8	708.1	5.8*10^6	605	605	0	0	0	0	0	0	0
45000	44334	43241	15.002	2999.6	16.9	109.7	8.6	0.0	19.0	281.0	0.0	300.0	0	43241	0	0	0	7.22	7.74	48.1	51.6	99.7	1043.6	8.5*10^6	1759	1759	0	0	0	0	0	0	0
60000	58306	56212	15.036	3990.5	13.6	77.3	7.1	0.1	19.0	281.0	0.0	300.0	0	56212	0	0	0	7.36	7.63	49.0	50.7	99.7	1356.6	11.1*10^6	3788	3788	0	0	0	0	0	0	0
75000	71869	67521	15.006	4998.1	16.2	110.3	8.6	0.1	19.0	281.0	0.0	300.0	0	67521	0	0	0	6.78	8.19	45.2	54.6	99.7	1641.0	13.4*10^6	7479	7479	0	0	0	0	0	0	0
90000	87950	85375	15.050	5979.9	13.4	96.1	6.9	0.1	19.0	281.0	0.0	300.0	0	85375	0	0	0	6.73	8.28	44.7	55.0	99.7	2055.7	16.8*10^6	4625	4625	0	0	0	0	0	0	0
30000	29989	29955	14.999	2000.2	1.6	22.4	0.8	0.0	19.0	281.0	0.0	300.0	0	29955	0	0	0	9.36	5.60	62.4	37.3	99.8	719.8	5.9*10^6	45	45	0	0	0	0	0	0	0
45000	45000	44998	15.012	2997.5	2.1	21.5	1.0	0.0	19.0	281.0	0.0	300.0	0	44998	0	0	0	8.73	6.25	58.1	41.6	99.7	1080.1	8.8*10^6	2	2	0	0	0	0	0	0	0
60000	59393	58502	15.007	3998.1	5.3	108.5	2.8	0.0	19.0	281.0	0.0	300.0	0	58502	0	0	0	7.97	7.00	53.1	46.6	99.7	1408.8	11.5*10^6	1498	1498	0	0	0	0	0	0	0
75000	74282	73256	15.003	4999.1	5.2	113.7	2.8	0.0	19.0	281.0	0.0	300.0	0	73256	0	0	0	7.35	7.61	49.0	50.7	99.7	1764.2	14.5*10^6	1744	1744	0	0	0	0	0	0	0
