total_connections	total_requests	total_replies	total_test_duration	connection_rate_per_sec	connection_time_avg	connection_time_max	reply_time_response	reply_time_transfer	reply_size_header	reply_size_content	reply_size_footer	reply_size_total	reply_status_1xx	reply_status_2xx	reply_status_3xx	reply_status_4xx	reply_status_5xx	cpu_time_user_sec	cpu_time_system_sec	cpu_time_user_pct	cpu_time_system_pct	cpu_time_total_pct	net_io_kb_sec	net_io_bps	errors_total	errors_client_timeout	errors_socket_timeout	errors_conn_refused	errors_conn_reset	errors_fd_unavail	errors_addr_unavail	errors_ftab_full	errors_other
30000	30000	30000	14.999	2000.2	0.4	5.0	0.2	0.0	19.0	281.0	0.0	300.0	0	30000	0	0	0	9.55	5.42	63.6	36.1	99.8	720.8	5.9*10^6	0	0	0	0	0	0	0	0	0
45000	44984	44953	14.999	3000.2	0.5	11.5	0.2	0.0	19.0	281.0	0.0	300.0	0	44953	0	0	0	9.02	5.94	60.1	39.6	99.7	1080.1	8.8*10^6	47	47	0	0	0	0	0	0	0
60000	60000	59996	15.006	3998.4	0.5	11.4	0.2	0.0	19.0	281.0	0.0	300.0	0	59996	0	0	0	8.38	6.59	55.8	43.9	99.7	1440.7	11.8*10^6	4	4	0	0	0	0	0	0	0
75000	74982	74950	15.003	4999.1	0.5	14.5	0.3	0.0	19.0	281.0	0.0	300.0	0	74950	0	0	0	7.96	7.01	53.0	46.7	99.7	1800.4	14.7*10^6	50	50	0	0	0	0	0	0	0
90000	89999	89998	14.997	6001.2	0.5	3.7	0.2	0.0	19.0	281.0	0.0	300.0	0	89998	0	0	0	7.59	7.36	50.6	49.1	99.7	2162.5	17.7*10^6	2	2	0	0	0	0	0	0	0
30000	29967	29933	15.001	1999.8	3.9	95.5	2.0	0.0	19.0	281.0	0.0	300.0	0	29933	0	0	0	8.89	6.08	59.3	40.5	99.8	719.2	5.9*10^6	67	67	0	0	0	0	0	0	0
45000	44990	44984	14.999	3000.2	1.5	63.0	0.7	0.0	19.0	281.0	0.0	300.0	0	44984	0	0	0	8.78	6.21	58.5	41.4	100.0	1080.8	8.9*10^6	16	16	0	0	0	0	0	0	0
60000	59999	59991	15.006	3998.3	0.5	8.8	0.3	0.0	19.0	281.0	0.0	300.0	0	59991	0	0	0	8.39	6.58	55.9	43.8	99.7	1440.6	11.8*10^6	9	9	0	0	0	0	0	0	0
75000	74715	74354	15.004	4998.6	6.1	73.1	3.1	0.0	19.0	281.0	0.0	300.0	0	74354	0	0	0	7.58	7.38	50.5	49.2	99.7	1787.4	14.6*10^6	646	646	0	0	0	0	0	0	0
90000	88725	86952	15.001	5999.8	9.3	96.6	4.9	0.1	19.0	281.0	0.0	300.0	0	86952	0	0	0	6.98	7.98	46.5	53.2	99.7	2096.8	17.2*10^6	3048	3048	0	0	0	0	0	0	0
30000	30000	29999	14.999	2000.2	0.5	7.3	0.2	0.0	19.0	281.0	0.0	300.0	0	29999	0	0	0	9.70	5.26	64.6	35.1	99.7	720.7	5.9*10^6	1	1	0	0	0	0	0	0	0
45000	44988	44964	14.999	3000.2	0.5	16.9	0.2	0.0	19.0	281.0	0.0	300.0	0	44964	0	0	0	9.07	5.89	60.4	39.3	99.7	1080.4	8.9*10^6	36	36	0	0	0	0	0	0	0
60000	59999	59988	15.006	3998.3	0.5	8.2	0.2	0.0	19.0	281.0	0.0	300.0	0	59988	0	0	0	10.88	4.08	72.5	27.2	99.7	1440.6	11.8*10^6	12	12	0	0	0	0	0	0	0
75000	74997	74970	15.003	4999.1	0.5	11.5	0.2	0.0	19.0	281.0	0.0	300.0	0	74970	0	0	0	8.08	6.90	53.9	46.0	99.9	1800.8	14.8*10^6	30	30	0	0	0	0	0	0	0
90000	89999	89997	14.999	6000.3	0.5	4.6	0.2	0.0	19.0	281.0	0.0	300.0	0	89997	0	0	0	7.51	7.45	50.1	49.7	99.7	2162.2	17.7*10^6	3	3	0	0	0	0	0	0	0
30000	30000	30000	14.999	2000.2	0.4	3.2	0.2	0.0	19.0	281.0	0.0	300.0	0	30000	0	0	0	9.57	5.39	63.8	36.0	99.8	720.8	5.9*10^6	0	0	0	0	0	0	0	0	0
45000	44991	44991	14.999	3000.2	0.9	10.3	0.4	0.0	19.0	281.0	0.0	300.0	0	44991	0	0	0	8.87	6.09	59.1	40.6	99.7	1080.9	8.9*10^6	9	9	0	0	0	0	0	0	0
60000	59962	59924	15.017	3995.5	4.8	74.8	2.4	0.0	19.0	281.0	0.0	300.0	0	59924	0	0	0	7.95	7.02	53.0	46.8	99.7	1438.1	11.8*10^6	76	76	0	0	0	0	0	0	0
75000	74059	72602	15.004	4998.7	5.4	76.3	2.8	0.0	19.0	281.0	0.0	300.0	0	72602	0	0	0	7.61	7.35	50.8	49.0	99.7	1750.2	14.3*10^6	2398	2398	0	0	0	0	0	0	0
