total_connections	total_requests	total_replies	total_test_duration	connection_rate_per_sec	connection_time_avg	connection_time_max	reply_time_response	reply_time_transfer	reply_size_header	reply_size_content	reply_size_footer	reply_size_total	reply_status_1xx	reply_status_2xx	reply_status_3xx	reply_status_4xx	reply_status_5xx	cpu_time_user_sec	cpu_time_system_sec	cpu_time_user_pct	cpu_time_system_pct	cpu_time_total_pct	net_io_kb_sec	net_io_bps	errors_total	errors_client_timeout	errors_socket_timeout	errors_conn_refused	errors_conn_reset	errors_fd_unavail	errors_addr_unavail	errors_ftab_full	errors_other
30000	29670	29084	15.123	1983.8	7.3	110.6	3.9	0.0	19.0	281.0	0.0	300.0	0	29084	0	0	0	8.92	6.17	59.0	40.8	99.8	695.6	5.7*10^6	916	916	0	0	0	0	0	0	0
45000	44846	44631	14.999	3000.2	6.2	114.6	3.2	0.0	19.0	281.0	0.0	300.0	0	44631	0	0	0	8.41	6.55	56.1	43.7	99.7	1073.2	8.8*10^6	369	369	0	0	0	0	0	0	0
60000	58833	57002	15.007	3998.2	5.9	112.8	3.3	0.0	19.0	281.0	0.0	300.0	0	57002	0	0	0	7.78	7.18	51.9	47.9	99.7	1377.0	11.3*10^6	2998	2998	0	0	0	0	0	0	0
75000	74535	74060	15.108	4964.3	7.8	87.6	4.0	0.1	19.0	281.0	0.0	300.0	0	74060	0	0	0	7.02	8.04	46.5	53.2	99.7	1768.6	14.5*10^6	940	940	0	0	0	0	0	0	0
90000	89755	89536	15.000	6000.2	0.8	12.1	0.4	0.0	19.0	281.0	0.0	300.0	0	89536	0	0	0	7.36	7.60	49.0	50.6	99.7	2152.0	17.6*10^6	464	464	0	0	0	0	0	0	0
30000	29974	29944	15.019	1997.4	7.3	84.3	3.6	0.0	19.0	281.0	0.0	300.0	0	29944	0	0	0	8.77	6.22	58.4	41.4	99.8	718.6	5.9*10^6	56	56	0	0	0	0	0	0	0
45000	44966	44919	15.000	3000.1	3.4	76.4	1.7	0.0	19.0	281.0	0.0	300.0	0	44919	0	0	0	8.54	6.42	56.9	42.8	99.7	1079.3	8.8*10^6	81	81	0	0	0	0	0	0	0
60000	58975	57538	15.132	3965.2	11.0	85.0	5.7	0.0	19.0	281.0	0.0	300.0	0	57538	0	0	0	7.53	7.56	49.7	50.0	99.7	1376.6	11.3*10^6	2462	2462	0	0	0	0	0	0	0
75000	74744	74551	15.003	4999.1	10.5	92.7	5.2	0.1	19.0	281.0	0.0	300.0	0	74551	0	0	0	7.02	7.94	46.8	52.9	99.7	1791.5	14.7*10^6	449	449	0	0	0	0	0	0	0
90000	89837	89701	14.999	6000.3	0.9	13.5	0.4	0.0	19.0	281.0	0.0	300.0	0	89701	0	0	0	7.42	7.53	49.5	50.2	99.7	2155.6	17.7*10^6	299	299	0	0	0	0	0	0	0
30000	29893	29780	15.104	1986.2	2.2	109.5	1.1	0.0	19.0	281.0	0.0	300.0	0	29780	0	0	0	9.41	5.66	62.3	37.5	99.8	711.0	5.8*10^6	220	220	0	0	0	0	0	0	0
45000	44859	44661	15.000	3000.0	2.5	109.5	1.3	0.0	19.0	281.0	0.0	300.0	0	44661	0	0	0	8.61	6.34	57.4	42.3	99.7	1073.8	8.8*10^6	339	339	0	0	0	0	0	0	0
60000	59972	59927	15.041	3989.2	2.3	24.6	1.1	0.0	19.0	281.0	0.0	300.0	0	59927	0	0	0	8.07	6.93	53.6	46.1	99.7	1436.0	11.8*10^6	73	73	0	0	0	0	0	0	0
75000	70685	64589	15.099	4967.1	16.3	108.7	8.7	0.1	19.0	281.0	0.0	300.0	0	64589	0	0	0	7.12	7.94	47.2	52.6	99.7	1568.7	12.9*10^6	10411	10411	0	0	0	0	0	0	0
